Source,Target,Type,Id,Label,timeset,Weight,e_correlation,e_relation
n5,n4979,Undirected,213,,,0.507572,0.507572,Pos
n5,n4986,Undirected,214,,,0.510171,0.510171,Pos
n6,n83,Undirected,215,,,0.480942,0.480942,Pos
n6,n84,Undirected,216,,,0.516231,0.51623,Pos
n6,n275,Undirected,217,,,0.518866,0.518866,Pos
n6,n372,Undirected,218,,,0.443309,0.443309,Pos
n6,n922,Undirected,219,,,0.522201,0.522201,Pos
n6,n1132,Undirected,220,,,0.45049,0.45049,Pos
n6,n1497,Undirected,221,,,0.477034,0.477034,Pos
n6,n1526,Undirected,222,,,0.543596,0.543596,Pos
n6,n1849,Undirected,223,,,0.487396,0.487396,Pos
n6,n1976,Undirected,224,,,0.498056,0.498056,Pos
n6,n2293,Undirected,225,,,0.454406,0.454406,Pos
n6,n2350,Undirected,226,,,0.455479,0.455479,Pos
n6,n2968,Undirected,227,,,0.474113,0.474113,Pos
n6,n3070,Undirected,228,,,0.543396,0.543396,Pos
n6,n3276,Undirected,229,,,0.488936,0.488936,Pos
n6,n3282,Undirected,230,,,0.547578,0.547578,Pos
n6,n3512,Undirected,231,,,0.471631,0.471631,Pos
n6,n3881,Undirected,232,,,0.510996,0.510996,Pos
n6,n3919,Undirected,233,,,0.458584,0.458584,Pos
n6,n3992,Undirected,234,,,0.463976,0.463976,Pos
n6,n4139,Undirected,235,,,0.53603,0.53603,Pos
n6,n4438,Undirected,236,,,0.461577,0.461577,Pos
n6,n4480,Undirected,237,,,0.474218,0.474218,Pos
n6,n4503,Undirected,238,,,0.48173,0.48173,Pos
n6,n4559,Undirected,239,,,0.48776,0.48776,Pos
n6,n4619,Undirected,240,,,0.476682,0.476682,Pos
n7,n352,Undirected,241,,,0.476655,0.476655,Pos
n7,n2142,Undirected,242,,,0.443373,0.443373,Pos
n8,n136,Undirected,243,,,0.448151,0.448151,Pos
n8,n4002,Undirected,244,,,0.472017,0.472017,Pos
n9,n798,Undirected,245,,,0.494104,0.494104,Pos
n9,n1056,Undirected,246,,,0.500859,0.500859,Pos
n9,n1341,Undirected,247,,,0.448504,0.448504,Pos
n9,n2683,Undirected,248,,,0.444018,0.444018,Pos
n9,n2855,Undirected,249,,,0.447572,0.447572,Pos
n9,n4228,Undirected,250,,,0.465193,0.465193,Pos
n10,n315,Undirected,251,,,0.452491,0.452491,Pos
n10,n359,Undirected,252,,,0.460873,0.460873,Pos
n10,n679,Undirected,253,,,0.576718,0.576718,Pos
n10,n1051,Undirected,254,,,0.4883,0.4883,Pos
n10,n1507,Undirected,255,,,0.661775,0.661775,Pos
n10,n2270,Undirected,256,,,0.451423,0.451423,Pos
n10,n2487,Undirected,257,,,0.501455,0.501455,Pos
n10,n2835,Undirected,258,,,0.459846,0.459846,Pos
n10,n3357,Undirected,259,,,0.500562,0.500562,Pos
n10,n3683,Undirected,260,,,0.452335,0.452335,Pos
n10,n4031,Undirected,261,,,0.449826,0.449826,Pos
n10,n4142,Undirected,262,,,0.44292,0.44292,Pos
n10,n4321,Undirected,263,,,0.466164,0.466164,Pos
n10,n4449,Undirected,264,,,0.463359,0.463359,Pos
n10,n4823,Undirected,265,,,0.465869,0.465869,Pos
n11,n578,Undirected,266,,,0.452684,0.452684,Pos
n11,n607,Undirected,267,,,0.536175,0.536175,Pos
n11,n976,Undirected,268,,,0.51754,0.51754,Pos
n11,n2229,Undirected,269,,,0.464106,0.464106,Pos
n11,n3052,Undirected,270,,,0.453367,0.453367,Pos
n11,n4010,Undirected,271,,,0.452705,0.452705,Pos
n11,n4295,Undirected,272,,,0.455245,0.455245,Pos
n11,n4325,Undirected,273,,,0.545946,0.545946,Pos
n11,n4914,Undirected,274,,,0.472841,0.472841,Pos
n12,n25,Undirected,275,,,0.511505,0.511505,Pos
n12,n31,Undirected,276,,,0.561633,0.561633,Pos
n12,n48,Undirected,277,,,0.523702,0.523702,Pos
n12,n57,Undirected,278,,,0.578272,0.578272,Pos
n12,n154,Undirected,279,,,0.440509,0.440509,Pos
n12,n271,Undirected,280,,,0.511995,0.511995,Pos
n12,n339,Undirected,281,,,0.541195,0.541195,Pos
n12,n356,Undirected,282,,,0.521284,0.521284,Pos
n12,n485,Undirected,283,,,0.507958,0.507958,Pos
n12,n489,Undirected,284,,,0.537793,0.537793,Pos
n12,n534,Undirected,285,,,0.514425,0.514425,Pos
n12,n620,Undirected,286,,,0.563644,0.563644,Pos
n12,n665,Undirected,287,,,0.497321,0.497321,Pos
n12,n725,Undirected,288,,,0.480686,0.480686,Pos
n12,n885,Undirected,289,,,0.458333,0.458333,Pos
n12,n898,Undirected,290,,,0.484639,0.484639,Pos
n12,n953,Undirected,291,,,0.526025,0.526025,Pos
n12,n957,Undirected,292,,,0.473968,0.473968,Pos
n12,n998,Undirected,293,,,0.486113,0.486113,Pos
n12,n1022,Undirected,294,,,0.446859,0.446859,Pos
n12,n1131,Undirected,295,,,0.561549,0.561549,Pos
n12,n1146,Undirected,296,,,0.51385,0.51385,Pos
n12,n1242,Undirected,297,,,0.563245,0.563245,Pos
n12,n1311,Undirected,298,,,0.600286,0.600286,Pos
n12,n1350,Undirected,299,,,0.549243,0.549243,Pos
n12,n1436,Undirected,300,,,0.44294,0.44294,Pos
n12,n1530,Undirected,301,,,0.452556,0.452556,Pos
n12,n1539,Undirected,302,,,0.548144,0.548144,Pos
n12,n1550,Undirected,303,,,0.501084,0.501084,Pos
n12,n1562,Undirected,304,,,0.604779,0.604779,Pos
n12,n1577,Undirected,305,,,0.484017,0.484017,Pos
n12,n1586,Undirected,306,,,0.449353,0.449353,Pos
n12,n1601,Undirected,307,,,0.497982,0.497982,Pos
n12,n1683,Undirected,308,,,0.504067,0.504067,Pos
n12,n1686,Undirected,309,,,0.450704,0.450704,Pos
n12,n1710,Undirected,310,,,0.547939,0.547939,Pos
n12,n1730,Undirected,311,,,0.591991,0.591991,Pos
n12,n1752,Undirected,312,,,0.509506,0.509506,Pos
n12,n1770,Undirected,313,,,0.482358,0.482358,Pos
n12,n1790,Undirected,314,,,0.610078,0.610078,Pos
n12,n1825,Undirected,315,,,0.458975,0.458975,Pos
n12,n1897,Undirected,316,,,0.47831,0.47831,Pos
n12,n1899,Undirected,317,,,0.485004,0.485004,Pos
n12,n1948,Undirected,318,,,0.476848,0.476848,Pos
n12,n1975,Undirected,319,,,0.44072,0.44072,Pos
n12,n2129,Undirected,320,,,0.451986,0.451986,Pos
n12,n2141,Undirected,321,,,0.452103,0.452103,Pos
n12,n2160,Undirected,322,,,0.508519,0.508519,Pos
n12,n2268,Undirected,323,,,0.448876,0.448876,Pos
n12,n2290,Undirected,324,,,0.48372,0.48372,Pos
n12,n2301,Undirected,325,,,0.535698,0.535698,Pos
n12,n2496,Undirected,326,,,0.552087,0.552087,Pos
n12,n2502,Undirected,327,,,0.458496,0.458496,Pos
n12,n2603,Undirected,328,,,0.476867,0.476867,Pos
n12,n2634,Undirected,329,,,0.538957,0.538957,Pos
n12,n2636,Undirected,330,,,0.494981,0.494981,Pos
n12,n2719,Undirected,331,,,0.507237,0.507237,Pos
n12,n2935,Undirected,332,,,0.559439,0.559439,Pos
n12,n2971,Undirected,333,,,0.546905,0.546905,Pos
n12,n3006,Undirected,334,,,0.580164,0.580164,Pos
n12,n3041,Undirected,335,,,0.513201,0.513201,Pos
n12,n3151,Undirected,336,,,0.465779,0.465779,Pos
n12,n3366,Undirected,337,,,0.473388,0.473388,Pos
n12,n3383,Undirected,338,,,0.476305,0.476305,Pos
n12,n3400,Undirected,339,,,0.549755,0.549755,Pos
n12,n3466,Undirected,340,,,0.479012,0.479012,Pos
n12,n3590,Undirected,341,,,0.61812,0.61812,Pos
n12,n3620,Undirected,342,,,0.602181,0.602181,Pos
n12,n3723,Undirected,343,,,0.541208,0.541208,Pos
n12,n3752,Undirected,344,,,0.579119,0.579119,Pos
n12,n3764,Undirected,345,,,0.568308,0.568308,Pos
n12,n3816,Undirected,346,,,0.463981,0.463981,Pos
n12,n3819,Undirected,347,,,0.546948,0.546948,Pos
n12,n3898,Undirected,348,,,0.550932,0.550932,Pos
n12,n3958,Undirected,349,,,0.605994,0.605994,Pos
n12,n4027,Undirected,350,,,0.449855,0.449855,Pos
n12,n4063,Undirected,351,,,0.595081,0.595081,Pos
n12,n4076,Undirected,352,,,0.493943,0.493943,Pos
n12,n4252,Undirected,353,,,0.45668,0.45668,Pos
n12,n4290,Undirected,354,,,0.462023,0.462023,Pos
n12,n4315,Undirected,355,,,0.528885,0.528885,Pos
n12,n4373,Undirected,356,,,0.525844,0.525844,Pos
n12,n4444,Undirected,357,,,0.453614,0.453614,Pos
n12,n4479,Undirected,358,,,0.467424,0.467424,Pos
n12,n4488,Undirected,359,,,0.452704,0.452704,Pos
